id,timestamp,message,attributes,tags
7f3e116f-fc27-435d-ace8-fa03dbcb0312,2026-06-04 05:40:10.727725000,  Applying accounts.0002_make_clerk_id_nullable... OK,{},"{""idDeployment"":""2f999427-6653-4e47-9321-34965df91a98"",""idApp"":""1e39cde8-5647-4752-ae30-96f37b63b227"",""container"":""stateless"",""podName"":""mailyt-cuidalegacy-wxnx5-web-d4d7cdcf6-6pb5x"",""idProcess"":""98a19179-c453-4c36-895f-3063774b4add"",""idCompany"":""4d4bb1b2-9be4-42a9-b4a9-b948a3d2d863""}"
1ca375c1-6918-4666-8ccc-117975967539,2026-06-04 05:40:10.747222000,  Applying admin.0001_initial... OK,{},"{""idDeployment"":""2f999427-6653-4e47-9321-34965df91a98"",""idApp"":""1e39cde8-5647-4752-ae30-96f37b63b227"",""container"":""stateless"",""podName"":""mailyt-cuidalegacy-wxnx5-web-d4d7cdcf6-6pb5x"",""idProcess"":""98a19179-c453-4c36-895f-3063774b4add"",""idCompany"":""4d4bb1b2-9be4-42a9-b4a9-b948a3d2d863""}"
4c775d10-c061-4dc9-bf17-56ae240e1ec0,2026-06-04 05:40:11.037548000,  Applying admin.0002_logentry_remove_auto_add... OK,{},"{""idDeployment"":""2f999427-6653-4e47-9321-34965df91a98"",""idApp"":""1e39cde8-5647-4752-ae30-96f37b63b227"",""container"":""stateless"",""podName"":""mailyt-cuidalegacy-wxnx5-web-d4d7cdcf6-6pb5x"",""idProcess"":""98a19179-c453-4c36-895f-3063774b4add"",""idCompany"":""4d4bb1b2-9be4-42a9-b4a9-b948a3d2d863""}"
dccc4a5c-31ba-4184-a0f2-06724e6b6da5,2026-06-04 05:40:11.048530000,  Applying admin.0003_logentry_add_action_flag_choices... OK,{},"{""idDeployment"":""2f999427-6653-4e47-9321-34965df91a98"",""idApp"":""1e39cde8-5647-4752-ae30-96f37b63b227"",""container"":""stateless"",""podName"":""mailyt-cuidalegacy-wxnx5-web-d4d7cdcf6-6pb5x"",""idProcess"":""98a19179-c453-4c36-895f-3063774b4add"",""idCompany"":""4d4bb1b2-9be4-42a9-b4a9-b948a3d2d863""}"
e303c1f8-58b7-4a73-b6fa-b39a9813a3c4,2026-06-04 05:40:11.148735000,  Applying analytics.0001_initial... OK,{},"{""idDeployment"":""2f999427-6653-4e47-9321-34965df91a98"",""idApp"":""1e39cde8-5647-4752-ae30-96f37b63b227"",""container"":""stateless"",""podName"":""mailyt-cuidalegacy-wxnx5-web-d4d7cdcf6-6pb5x"",""idProcess"":""98a19179-c453-4c36-895f-3063774b4add"",""idCompany"":""4d4bb1b2-9be4-42a9-b4a9-b948a3d2d863""}"
10d8b290-706e-4981-9486-5007f0cad5ff,2026-06-04 05:40:11.358434000,  Applying appointments.0001_initial... OK,{},"{""idDeployment"":""2f999427-6653-4e47-9321-34965df91a98"",""idApp"":""1e39cde8-5647-4752-ae30-96f37b63b227"",""container"":""stateless"",""podName"":""mailyt-cuidalegacy-wxnx5-web-d4d7cdcf6-6pb5x"",""idProcess"":""98a19179-c453-4c36-895f-3063774b4add"",""idCompany"":""4d4bb1b2-9be4-42a9-b4a9-b948a3d2d863""}"
8249b000-e337-48ed-a2ef-084623ee8d06,2026-06-04 05:40:11.442555000,  Applying audit.0001_initial... OK,{},"{""idDeployment"":""2f999427-6653-4e47-9321-34965df91a98"",""idApp"":""1e39cde8-5647-4752-ae30-96f37b63b227"",""container"":""stateless"",""podName"":""mailyt-cuidalegacy-wxnx5-web-d4d7cdcf6-6pb5x"",""idProcess"":""98a19179-c453-4c36-895f-3063774b4add"",""idCompany"":""4d4bb1b2-9be4-42a9-b4a9-b948a3d2d863""}"
b9f6d77c-684b-4885-bb2c-178a597d6e25,2026-06-04 05:40:11.450612000,  Applying axes.0001_initial... OK,{},"{""idDeployment"":""2f999427-6653-4e47-9321-34965df91a98"",""idApp"":""1e39cde8-5647-4752-ae30-96f37b63b227"",""container"":""stateless"",""podName"":""mailyt-cuidalegacy-wxnx5-web-d4d7cdcf6-6pb5x"",""idProcess"":""98a19179-c453-4c36-895f-3063774b4add"",""idCompany"":""4d4bb1b2-9be4-42a9-b4a9-b948a3d2d863""}"
97e29c96-718f-4061-9b70-b97f203a1a1b,2026-06-04 05:40:11.470823000,  Applying axes.0002_auto_20151217_2044... OK,{},"{""idDeployment"":""2f999427-6653-4e47-9321-34965df91a98"",""idApp"":""1e39cde8-5647-4752-ae30-96f37b63b227"",""container"":""stateless"",""podName"":""mailyt-cuidalegacy-wxnx5-web-d4d7cdcf6-6pb5x"",""idProcess"":""98a19179-c453-4c36-895f-3063774b4add"",""idCompany"":""4d4bb1b2-9be4-42a9-b4a9-b948a3d2d863""}"
ac421626-4f97-4d9f-b2d3-9672cb1dd00d,2026-06-04 05:40:11.536961000,  Applying axes.0003_auto_20160322_0929... OK,{},"{""idDeployment"":""2f999427-6653-4e47-9321-34965df91a98"",""idApp"":""1e39cde8-5647-4752-ae30-96f37b63b227"",""container"":""stateless"",""podName"":""mailyt-cuidalegacy-wxnx5-web-d4d7cdcf6-6pb5x"",""idProcess"":""98a19179-c453-4c36-895f-3063774b4add"",""idCompany"":""4d4bb1b2-9be4-42a9-b4a9-b948a3d2d863""}"
